experiment,scheme,tag_policy,workload,pipeline_depth,adversary,fec_t,seeds,goodput_mean,goodput_ci95,throughput_payload_B_per_cycle_mean,throughput_payload_B_per_cycle_ci95,p50_latency_cycles_mean,p50_latency_cycles_ci95,p95_latency_cycles_mean,p95_latency_cycles_ci95,p99_latency_cycles_mean,p99_latency_cycles_ci95,p999_latency_cycles_mean,p999_latency_cycles_ci95,max_latency_cycles_mean,max_latency_cycles_ci95,avg_repair_rounds_mean,avg_repair_rounds_ci95,avg_repair_frames_mean,avg_repair_frames_ci95,peak_repair_frames_mean,peak_repair_frames_ci95,security_drops_mean,security_drops_ci95,rejected_frames_mean,rejected_frames_ci95
adversarial,sr,repair_authenticator,packet256,1,tag_target,0,20,0.9162780063199923,0.0005513558208167632,7.265214595862403,0.004332952959831875,1187.5,0.0,1335.775,3.3809999999999993,1397.425,10.358244748178038,1487.5,26.464297896560467,1487.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,300.0,0.0,0.0,0.0
fec,modeA,repair_authenticator,packet256,1,none,0,20,0.8562788480904414,0.00048298805433068937,5.005504015404608,0.006361843497435106,50.0,0.0,50.0,0.0,83.3,22.87240840194279,199.85,23.806357448113904,333.05,33.38864307073983,0.010307291666666666,0.0005854833868921939,0.010307291666666666,0.0005854833868921939,2.55,0.30079858622288136,0.0,0.0,0.0,0.0
fec,modeA,repair_authenticator,packet256,1,none,1,20,0.8127903493265334,0.0002351638654514069,4.859842215176301,0.003394256470500724,50.0,0.0,50.0,0.0,53.2,1.7622798630721153,161.0,0.0,299.75,38.25658370584212,0.0033489583333333336,0.00031638899919582305,0.0033489583333333336,0.00031638899919582305,2.25,0.34465390725983897,0.0,0.0,0.0,0.0
fec,modeA,repair_authenticator,packet256,1,none,2,20,0.7703952714709484,0.00013260241265276583,4.681117915799195,0.00205915327584163,50.0,0.0,50.0,0.0,53.2,1.7622798630721153,104.35,23.041147134271718,244.25,41.384584658643384,0.00103125,0.00019866603287164886,0.00103125,0.00019866603287164886,1.75,0.3728340960238142,0.0,0.0,0.0,0.0
fec,sr,repair_authenticator,packet256,1,none,0,20,0.9154588497667191,0.0005503703849314022,7.258777014636056,0.004325277285525624,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
fec,sr,repair_authenticator,packet256,1,none,1,20,0.8663679768876034,0.00039095144915379424,6.8727956122046185,0.0030753497084918587,1187.5,0.0,1337.5,0.0,1385.8,12.41047353946191,1462.525,33.426890891678966,1462.525,33.426890891678966,0.07516666666666667,0.005414042603262511,0.18033333333333335,0.015010212196216233,4.8,0.7194477414180817,0.0,0.0,0.0,0.0
fec,sr,repair_authenticator,packet256,1,none,2,20,0.8209975506820228,0.00030277865298576357,6.515740071380897,0.0023838569847375304,1256.5,0.0,1256.5,0.0,1429.45,26.63487649878,1543.6,26.590687788258347,1543.6,26.590687788258347,0.024333333333333335,0.0037947837389936986,0.078,0.01301843730796905,4.85,0.5557377268574013,0.0,0.0,0.0,0.0
tag_policy,flush,repair_authenticator,packet256,1,none,0,20,0.717484034091763,0.008164002365702284,5.6999094352146065,0.064405069253609,1118.5,0.0,3072.925,254.0417152909092,4020.525,264.97319204412474,5678.825,386.83482782645916,5678.825,386.83482782645916,0.2906666666666667,0.014674953320905664,9.301333333333334,0.46959850626898125,123.2,10.450582094087542,0.0,0.0,0.0,0.0
tag_policy,flush,resend_epoch_tag,packet256,1,none,0,20,0.717484034091763,0.008164002365702284,5.6999094352146065,0.064405069253609,1118.5,0.0,3072.925,254.0417152909092,4020.525,264.97319204412474,5678.825,386.83482782645916,5678.825,386.83482782645916,0.2906666666666667,0.014674953320905664,9.301333333333334,0.46959850626898125,123.2,10.450582094087542,0.0,0.0,0.0,0.0
tag_policy,flush,tag_once,packet256,1,none,0,20,0.7177021807713857,0.008157880611639466,5.701630441882809,0.06435650586456426,1118.5,0.0,3070.45,253.72000775782655,4016.85,264.63764135770333,5673.05,386.3449567907988,5673.05,386.3449567907988,0.2906666666666667,0.014674953320905664,9.301333333333334,0.46959850626898125,123.2,10.450582094087542,0.0,0.0,0.0,0.0
tag_policy,sr,repair_authenticator,packet256,1,none,0,20,0.9154588497667191,0.0005503703849314022,7.258777014636056,0.004325277285525624,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
tag_policy,sr,resend_epoch_tag,packet256,1,none,0,20,0.9154588497667191,0.0005503703849314022,7.258777014636056,0.004325277285525624,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
